scenario,seed,jobs,candidate_count,first_capacity,second_capacity,probe_available,probe_cost,revise,delay,cost_budget,call_limit,recovery_available,recovery_cost,fixture_sha256,policy,success,failure,cost_units,calls,probe_attempted,compactions,peak_retained_records,peak_retained_serialized_bytes
tight_cheap,6,6,2,2,2,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,recent_never,False,missing_receipt,10,10,False,2,2,145
tight_cheap,6,6,2,2,2,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,structured_never,True,,10,10,False,2,2,145
tight_cheap,6,6,2,2,2,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,structured_always,True,,11,11,True,2,2,145
tight_cheap,6,6,2,2,2,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,structured_budgeted,True,,11,11,True,2,2,145
tight_cheap,7,6,2,2,2,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,recent_never,False,missing_receipt,10,10,False,2,2,145
tight_cheap,7,6,2,2,2,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,structured_never,False,missing_receipt,10,10,False,2,2,145
tight_cheap,7,6,2,2,2,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,structured_always,True,,11,11,True,2,2,145
tight_cheap,7,6,2,2,2,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,structured_budgeted,True,,11,11,True,2,2,145
tight_cheap,7,6,2,2,2,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,recent_never,False,missing_receipt,10,10,False,2,2,145
tight_cheap,7,6,2,2,2,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,structured_never,False,missing_receipt,10,10,False,2,2,145
tight_cheap,7,6,2,2,2,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,structured_always,True,,11,11,True,2,2,145
tight_cheap,7,6,2,2,2,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,structured_budgeted,True,,11,11,True,2,2,145
ample_cheap,0,6,2,6,2,True,1,False,3,100,128,False,1,36dc7fd7f2786e09adfa77b89cf064d111471c14d6b7d88908337d1d411f4fea,recent_never,False,missing_receipt,10,10,False,2,6,433
ample_cheap,0,6,2,6,2,True,1,False,3,100,128,False,1,36dc7fd7f2786e09adfa77b89cf064d111471c14d6b7d88908337d1d411f4fea,structured_never,True,,10,10,False,2,6,433
ample_cheap,0,6,2,6,2,True,1,False,3,100,128,False,1,36dc7fd7f2786e09adfa77b89cf064d111471c14d6b7d88908337d1d411f4fea,structured_always,True,,11,11,True,2,2,145
ample_cheap,0,6,2,6,2,True,1,False,3,100,128,False,1,36dc7fd7f2786e09adfa77b89cf064d111471c14d6b7d88908337d1d411f4fea,structured_budgeted,True,,10,10,False,2,6,433
ample_cheap,0,6,2,6,2,True,1,True,3,100,128,False,1,63cd7da0ce566e514ab03a0de51a8f5695eaa9a34b2de85a5af0916e19949bea,recent_never,True,,10,10,False,2,6,433
ample_cheap,0,6,2,6,2,True,1,True,3,100,128,False,1,63cd7da0ce566e514ab03a0de51a8f5695eaa9a34b2de85a5af0916e19949bea,structured_never,True,,10,10,False,2,6,433
ample_cheap,0,6,2,6,2,True,1,True,3,100,128,False,1,63cd7da0ce566e514ab03a0de51a8f5695eaa9a34b2de85a5af0916e19949bea,structured_always,True,,11,11,True,2,2,145
ample_cheap,0,6,2,6,2,True,1,True,3,100,128,False,1,63cd7da0ce566e514ab03a0de51a8f5695eaa9a34b2de85a5af0916e19949bea,structured_budgeted,True,,10,10,False,2,6,433
ample_cheap,1,6,2,6,2,True,1,False,3,100,128,False,1,6607ae642af953e842bc0d36224aad68e8bc1cf3751b8d80713eaa4747a92101,recent_never,False,missing_receipt,10,10,False,2,6,433
ample_cheap,1,6,2,6,2,True,1,False,3,100,128,False,1,6607ae642af953e842bc0d36224aad68e8bc1cf3751b8d80713eaa4747a92101,structured_never,True,,10,10,False,2,6,433
ample_cheap,1,6,2,6,2,True,1,False,3,100,128,False,1,6607ae642af953e842bc0d36224aad68e8bc1cf3751b8d80713eaa4747a92101,structured_always,True,,11,11,True,2,2,145
ample_cheap,1,6,2,6,2,True,1,False,3,100,128,False,1,6607ae642af953e842bc0d36224aad68e8bc1cf3751b8d80713eaa4747a92101,structured_budgeted,True,,10,10,False,2,6,433
ample_cheap,1,6,2,6,2,True,1,True,3,100,128,False,1,68b8577c490b267297ddf783b0ee4bb23397f56d57e0b4b922b2801105a70fa0,recent_never,True,,10,10,False,2,6,433
ample_cheap,1,6,2,6,2,True,1,True,3,100,128,False,1,68b8577c490b267297ddf783b0ee4bb23397f56d57e0b4b922b2801105a70fa0,structured_never,True,,10,10,False,2,6,433
ample_cheap,1,6,2,6,2,True,1,True,3,100,128,False,1,68b8577c490b267297ddf783b0ee4bb23397f56d57e0b4b922b2801105a70fa0,structured_always,True,,11,11,True,2,2,145
ample_cheap,1,6,2,6,2,True,1,True,3,100,128,False,1,68b8577c490b267297ddf783b0ee4bb23397f56d57e0b4b922b2801105a70fa0,structured_budgeted,True,,10,10,False,2,6,433
