seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
0,8,4,lru_value_records,8,96,8,29,28,False,False,8,262,0
0,8,4,release_on_retire,8,96,8,29,29,True,True,8,260,0
0,8,4,lru_value_records,16,96,8,29,28,False,False,16,522,0
0,8,4,release_on_retire,16,96,8,29,29,True,True,8,260,0
0,8,4,lru_value_records,7,100,8,29,27,False,False,7,230,4
0,8,4,release_on_retire,7,100,8,29,27,False,False,7,229,4
0,8,4,lru_value_records,8,100,8,29,28,False,False,8,262,4
0,8,4,release_on_retire,8,100,8,29,29,True,True,8,260,4
0,8,4,lru_value_records,16,100,8,29,28,False,False,16,522,4
0,8,4,release_on_retire,16,100,8,29,29,True,True,8,260,4
0,8,4,lru_value_records,7,116,8,29,27,False,False,7,230,20
0,8,4,release_on_retire,7,116,8,29,27,False,False,7,229,20
0,8,4,lru_value_records,8,116,8,29,28,False,False,8,262,20
0,8,4,release_on_retire,8,116,8,29,29,True,True,8,260,20
0,8,4,lru_value_records,16,116,8,29,28,False,False,16,522,20
0,8,4,release_on_retire,16,116,8,29,29,True,True,8,260,20
0,8,16,lru_value_records,7,372,8,113,111,False,False,7,236,0
0,8,16,release_on_retire,7,372,8,113,111,False,False,7,236,0
0,8,16,lru_value_records,8,372,8,113,112,False,False,8,270,0
0,8,16,release_on_retire,8,372,8,113,113,True,True,8,267,0
0,8,16,lru_value_records,16,372,8,113,112,False,False,16,538,0
0,8,16,release_on_retire,16,372,8,113,113,True,True,8,267,0
0,8,16,lru_value_records,7,388,8,113,111,False,False,7,236,16
0,8,16,release_on_retire,7,388,8,113,111,False,False,7,236,16
0,8,16,lru_value_records,8,388,8,113,112,False,False,8,270,16
0,8,16,release_on_retire,8,388,8,113,113,True,True,8,267,16
0,8,16,lru_value_records,16,388,8,113,112,False,False,16,538,16
0,8,16,release_on_retire,16,388,8,113,113,True,True,8,267,16
0,8,16,lru_value_records,7,452,8,113,111,False,False,7,236,80
0,8,16,release_on_retire,7,452,8,113,111,False,False,7,236,80
0,8,16,lru_value_records,8,452,8,113,112,False,False,8,270,80
0,8,16,release_on_retire,8,452,8,113,113,True,True,8,267,80
0,8,16,lru_value_records,16,452,8,113,112,False,False,16,538,80
0,8,16,release_on_retire,16,452,8,113,113,True,True,8,267,80
0,8,64,lru_value_records,7,1476,8,449,447,False,False,7,239,0
0,8,64,release_on_retire,7,1476,8,449,447,False,False,7,238,0
0,8,64,lru_value_records,8,1476,8,449,448,False,False,8,273,0
